"","time","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63"
"1",0,15836.7174310659,810.032406997779,3559.20998781561,3.2936887668831e-119,1.657658651682e-59,1.49563186617928e-59,1.6992501782258e-111,6958.45692402603,402.589903891137,2640.27171558673,15.7601585815682,11.5750185073373,6.91500388046648,42.888790748093,6114.91260192506,386.460389606198,3433.08101394683,19.0396328473076,14.8637309531408,8.21397932880237,72.0140565276956,5373.62067829349,368.736293032295,4145.42532030413,19.4532983601682,15.6014612657519,8.33995885962374,86.7666904323998,4722.18651581586,352.223909058668,4777.44207699097,19.18308870876,15.5497453089157,8.20725212713508,92.8864407486959,4149.71846639089,337.429888861984,5334.33543726748,18.7567787911451,15.2633645623348,8.01993239154643,94.5461723590156,3646.64557215018,324.309209655154,5823.04433890178,18.3141787793155,14.9221050088202,7.82946956418059,94.0900878894638,3204.557366046,312.699751847522,6250.78935207187,17.8955968175062,14.5853478596373,7.65044514591884,92.7220244736445,2816.06308204675,302.428494032731,6624.45527459576,17.5123702157429,14.2721553042412,7.48688996483905,91.0313714616852
"2",0.1,15836.7176958024,810.032407923698,3559.20972995638,3.18580520442962e-119,1.63026400946217e-59,1.47091489575537e-59,1.6467523112849e-111,6958.45716371157,402.589906745648,2640.27149640347,15.7601585145547,11.5750184274166,6.91500385575697,42.8887898286614,6114.912959469,386.460395554617,3433.08068576503,19.0396328181597,14.8637308723367,8.21397932411819,72.0140547316598,5373.6211495391,368.736301853458,4145.42487396103,19.4532984021226,15.6014612247588,8.33995888701307,86.7666881042117,4722.18708369111,352.223920052043,4777.44151628995,19.1830888106326,15.5497453101039,8.20725218050209,92.8864381694323,4149.71910316847,337.429901146458,5334.33478247994,18.7567789261506,15.2633645899897,8.01993245889749,94.5461696744696,3646.64624175071,324.309222362368,5823.04362857199,18.3141789216947,14.9221050444277,7.82946963434484,94.0900851500022,3204.55802632716,312.699764207279,6250.78864136561,17.8955969490771,14.5853478889498,7.65044521112889,92.7220216826827,2816.06368732461,302.428505357973,6624.45462936853,17.5123703245092,14.2721553171575,7.48689002003909,91.0313685951845
"3",0.2,15836.7179564225,810.032409320952,3559.20947505552,3.08145534132462e-119,1.603322093805e-59,1.4466064004256e-59,1.59587635621507e-111,6958.45740053434,402.589909818904,2640.27127944691,15.760158457269,11.5750183548805,6.91500383527795,42.8887889402532,6114.91331362032,386.460401701169,3433.08036047404,19.0396328007175,14.863730801115,8.21397932442166,72.0140529899867,5373.62161716596,368.736310860059,4145.42443099175,19.4532984561058,15.6014611939656,8.33995891948707,86.7666858440621,4722.1876480256,352.223931226618,4777.44095915344,19.1830889246045,15.549745321688,8.20725223897174,92.886435665556,4149.71973677186,337.429913613757,5334.33413104994,18.7567790732969,15.2633646281116,8.0199325313674,94.5461670688911,3646.6469088094,324.30923525728,5823.04292093116,18.3141790761978,14.922105090488,7.82946970962201,94.0900824907736,3204.55868493573,312.699776761644,6250.78793223052,17.8955970926835,14.5853479286325,7.65044528141594,92.7220189718929,2816.06429199563,302.428516887219,6624.45398425145,17.5123704452284,14.2721553403657,7.48689008028234,91.0313658084427
"4",0.3,15836.7182129497,810.032411185499,3559.20922309973,2.98052342745728e-119,1.57682542323157e-59,1.4226996299834e-59,1.54657220282742e-111,6958.45763450593,402.589913108841,2640.27106470809,15.7601584096286,11.5750182896679,6.91500381899333,42.8887880826387,6114.91366438809,386.46040804375,3433.08003806436,19.0396327948768,14.8637307393933,8.21397932966799,72.0140513022778,5373.62208117902,368.736320049947,4145.42399138868,19.4532985220068,15.6014611732823,8.33995895699826,86.7666836514586,4722.18820881916,352.223942580209,4777.44040557875,19.183089050563,15.5497453435757,8.20725230249603,92.886433236534,4149.72036719515,337.429926261689,5334.33348298266,18.7567792324738,15.26336467661,8.01993260890914,94.5461645417422,3646.64757331421,324.309248337719,5823.04221599445,18.3141792427185,14.922105146914,7.8294697899669,94.0900799112546,3204.55934185334,312.699789508457,6250.78722469232,17.8955972482238,14.5853479786018,7.65044535673666,92.72201634077,2816.06489603526,302.428528618286,6624.4533392793,17.512370577801,14.2721553737836,7.48689014552635,91.0313631009628
"5",0.4,15836.7184654077,810.032413513308,3559.20897407572,2.88289750056963e-119,1.55076663943971e-59,1.39918794535916e-59,1.49879128745007e-111,6958.45786563799,402.589916613402,2640.27085217804,15.7601583715512,11.5750182317176,6.91500380686711,42.8887872555883,6114.91401178151,386.460414580267,3433.07971852639,19.0396328005338,14.8637306870896,8.21397933981254,72.0140496681356,5373.62254158343,368.736329420977,4145.42355514409,19.4532985997148,15.6014611626191,8.3399589994993,86.7666815259095,4722.18876607182,352.223954110636,4777.439855563,19.183089188396,15.5497453756755,8.20725237102706,92.8864308818342,4149.72099443266,337.429939088073,5334.33283828303,18.7567794035712,15.2633647353946,8.01993269147573,94.5461620924855,3646.64823525329,324.30926160152,5823.04151377675,18.3141794211512,14.9221052136187,7.82946987533439,94.090077410922,3204.55999706182,312.699802445566,6250.78651877638,17.8955974155964,14.5853480387741,7.65044543704776,92.7220137888088,2816.06549941916,302.428540548999,6624.45269448656,17.5123707221276,14.2721554173294,7.48689021572873,91.031360472248
"6",0.5,15836.71871382,810.032416300365,3559.20872797013,2.78846927429583e-119,1.52513850586612e-59,1.37606481732285e-59,1.45248655006951e-111,6958.45809394228,402.589920330536,2640.27064184775,15.7601583429548,11.5750181809688,6.91500379886344,42.8887864588731,6114.91435580991,386.460421308633,3433.07940185049,19.0396328175851,14.8637306441222,8.2139793548108,72.0140480871633,5373.62299838445,368.736338971016,4145.42312225016,19.4532986891194,15.6014611618865,8.33995904694298,86.7666794669238,4722.1893197838,352.223965815731,4777.43930910313,19.1830893379915,15.5497454178954,8.20725244451708,92.8864286009246,4149.72161847887,337.429952090734,5334.33219695572,18.7567795864792,15.263364804375,8.01993277902033,94.5461597205834,3646.64889461503,324.309275046524,5823.04081429262,18.3141796113901,14.9221052905152,7.82946996567943,94.0900749892523,3204.56065054324,312.699815570824,6250.78581450777,17.8955975947,14.5853481090659,7.65044552230605,92.722011315504,2816.06610212324,302.428552677192,6624.45204990743,17.5123708781089,14.2721554709214,7.48689029084721,91.0313579218015
"7",0.6,15836.7189582103,810.032419542665,3559.20848476962,2.69713400915416e-119,1.49993390553974e-59,1.35332382454717e-59,1.40761238457995e-111,6958.45831943062,402.589924258203,2640.27043370819,15.7601583237577,11.5750181373606,6.91500379494655,42.8887856922649,6114.91469648272,386.460428226771,3433.07908802696,19.0396328459275,14.8637306104096,8.21397937461844,72.0140465589649,5373.6234515875,368.736348697938,4145.42269269893,19.4532987901105,15.6014611709952,8.33995909928225,86.7666774740115,4722.18986995546,352.223977693332,4777.43876619593,19.1830894992379,15.5497454701443,8.20725252291847,92.8864263932741,4149.72223932846,337.429965267504,5334.33155900519,18.756779781088,15.2633648834611,8.01993287149618,94.5461574254989,3646.64955138801,324.30928867058,5823.04011755635,18.3141798133299,14.9221053775166,7.82947006095708,94.0900726457223,3204.56130227988,312.699828882094,6250.78511191123,17.8955977854335,14.585348189394,7.65044561246839,92.7220089203504,2816.06670412366,302.428565000703,6624.4514055758,17.512371045646,14.2721555344781,7.48689037083961,91.031355449127
"8",0.7,15836.7191986025,810.032423236218,3559.2082444608,2.60879039636291e-119,1.47514583910532e-59,1.33095865182437e-59,1.36412459386272e-111,6958.45854211489,402.589928394367,2640.27022775031,15.7601583138784,11.5750181008327,6.91500379508081,42.8887849555358,6114.91503380949,386.460435332614,3433.07877704605,19.0396328854581,14.8637305858705,8.21397939919125,72.0140450831455,5373.62390119816,368.736358599625,4145.42226648236,19.4532989025783,15.6014611898561,8.33995915647023,86.7666755466834,4722.19041658735,352.223989741286,4777.438226838,19.1830896720239,15.5497455323309,8.20725260618371,92.8864242583519,4149.72285697632,337.429978616224,5334.33092443564,18.7567799872885,15.2633649725631,8.01993296885664,94.5461552066949,3646.65020556102,324.309302471543,5823.03942358194,18.3141800268652,14.9221054745363,7.82947016112244,94.0900703798085,3204.56195225427,312.699842377242,6250.78441101121,17.8955979876957,14.585348279675,7.65044570749177,92.7220066028429,2816.06730539678,302.428577517382,6624.45076152526,17.5123712246402,14.2721556079181,7.48689045566385,91.0313530537284
"9",0.8,15836.7194350202,810.032427377046,3559.20800703028,2.52334044547149e-119,1.45076742287967e-59,1.30896308831251e-59,1.32198034625685e-111,6958.45876200708,402.589932737004,2640.27002396501,15.7601583132357,11.5750180713247,6.91500379923072,42.8887842484589,6114.9153677999,386.460442624102,3433.07846889795,19.0396329360746,14.863730570424,8.21397942848519,72.0140436593107,5373.62434722214,368.736368673971,4145.4218435923,19.4532990264136,15.6014612183806,8.33995921846014,86.7666736844511,4722.1909596802,352.224001957448,4777.43769102577,19.1830898562383,15.5497456043641,8.20725269426544,92.8864221956281,4149.72347141751,337.429992134742,5334.33029325106,18.7567802049712,15.2633650715913,8.01993307105516,94.5461530636351,3646.65085712307,324.309316447277,5823.03873238309,18.314180251891,14.9221055814878,7.82947026613073,94.0900681909879,3204.56260044913,312.699856054144,6250.78371183183,17.8955982013861,14.5853483798261,7.65044580733322,92.7220043624765,2816.06790591921,302.428590225084,6624.4501177891,17.5123714149929,14.2721556911602,7.48689054527794,91.0313507351098
"10",0.9,15836.7196674874,810.032431961184,3559.20777246464,2.44068937566975e-119,1.4267918869401e-59,1.28733102581065e-59,1.28113813337364e-111,6958.45897911921,402.589937284094,2640.26982234319,15.7601583217487,11.5750180487765,6.91500380736087,42.8887835708075,6114.91569846371,386.460450099184,3433.07816357278,19.0396329976748,14.8637305639892,8.21397946245636,72.0140422870675,5373.62478966533,368.736378918876,4145.42142402047,19.4532991615071,15.6014612564801,8.3399592852054,86.7666718868272,4722.1914992349,352.224014339683,4777.43715875552,19.1830900517706,15.5497456861534,8.20725278711643,92.8864202045731,4149.7240826473,337.430005820912,5334.32966545519,18.7567804340275,15.2633651804559,8.0199331780453,94.546150995783,3646.65150606336,324.309330595651,5823.03804397323,18.3141804883024,14.9221056982848,7.82947037593726,94.0900660787373,3204.56324684743,312.699869910682,6250.78301439691,17.8955984264039,14.5853484897643,7.65044591194986,92.722002198746,2816.06850566779,302.428603121673,6624.44947440033,17.5123716166059,14.2721557841234,7.48689063964,91.0313484927756
